id,trait_date,treatment,microhabitat,sa_dw,h,h_v,h_ww,sa_v,ts,t,p_calcification,dw_ww,Missing data
rcn1,30Jan2024,pre_storm,reefcrest,387.6736,12.1000,1.3444,0.9680,92.3032,1160,6.4,33.3333,0.1714,
rcn10,30Jan2024,pre_storm,reefcrest,303.3466,10.3000,1.4714,1.0300,83.0592,340,5.9,28.5714,0.1917,
rcn11,30Jan2024,pre_storm,reefcrest,443.5216,11.9000,2.9750,1.3222,194.3325,120,7.0,0.0000,0.1947,
rcn12,30Jan2024,pre_storm,reefcrest,378.8881,14.5000,1.8125,1.6477,75.7776,280,7.1,25.0000,0.1818,
rcn13,30Jan2024,pre_storm,reefcrest,361.9272,13.0000,1.3000,0.9774,79.5296,380,6.1,16.6667,0.1652,
rcn14,30Jan2024,pre_storm,reefcrest,333.2563,8.0000,1.6000,1.6667,56.8757,240,6.5,11.1111,0.1778,
rcn15,30Jan2024,pre_storm,reefcrest,230.3299,10.0000,0.4762,0.4292,55.0429,930,6.0,28.5714,0.2154,
rcn16,30Jan2024,pre_storm,reefcrest,285.2497,10.2000,2.0400,1.0099,93.6332,930,7.7,23.0769,0.1625,
rcn17,30Jan2024,pre_storm,reefcrest,461.1250,12.4000,4.1333,2.4800,131.7500,100,6.6,50.0000,0.1714,
rcn18,30Jan2024,pre_storm,reefcrest,373.4606,13.0000,1.4444,1.2150,69.7719,250,6.7,16.6667,0.1571,
rcn19,30Jan2024,pre_storm,reefcrest,333.6133,11.9000,1.1900,1.1121,59.4944,410,7.5,22.2222,0.1667,
rcn2,30Jan2024,pre_storm,reefcrest,367.5585,8.0000,4.0000,1.2903,203.4699,670,5.9,18.1818,0.1786,
rcn20,30Jan2024,pre_storm,reefcrest,340.6597,11.4000,2.2800,2.2353,62.5451,360,6.6,25.0000,0.1800,
rcn21,30Jan2024,pre_storm,reefcrest,339.5556,11.7000,1.4625,1.1471,73.5987,1390,6.9,22.2222,0.1700,
rcn22,30Jan2024,pre_storm,reefcrest,328.7269,14.3000,0.4333,0.4231,55.0957,1300,7.4,25.0000,0.1636,
rcn23,30Jan2024,pre_storm,reefcrest,461.7412,7.7000,1.5400,1.4808,74.2144,190,6.5,25.0000,0.1545,
rcn24,30Jan2024,pre_storm,reefcrest,418.0556,10.9000,1.3625,1.8167,56.4375,340,6.7,25.0000,0.1800,
rcn25,30Jan2024,pre_storm,reefcrest,437.2208,12.7000,0.8467,0.6865,86.2782,480,6.4,26.6667,0.1600,
rcn26,1Feb2024,pre_storm,reefcrest,267.5571,9.5000,1.9000,2.1591,47.0901,750,6.0,28.5714,0.2000,
rcn27,1Feb2024,pre_storm,reefcrest,331.7750,15.2000,1.1692,1.2991,59.7195,300,5.7,25.0000,0.2000,
rcn28,1Feb2024,pre_storm,reefcrest,242.8403,11.8000,1.0727,0.9916,46.3604,550,5.9,29.1667,0.1765,
rcn29,1Feb2024,pre_storm,reefcrest,238.7674,15.8000,1.2154,1.9268,28.8664,350,5.9,37.5000,0.1917,
rcn3,30Jan2024,pre_storm,reefcrest,338.4064,11.9000,1.3222,1.0818,80.4238,280,6.5,25.0000,0.1944,
rcn30,1Feb2024,pre_storm,reefcrest,219.0500,13.3000,0.8867,0.8365,46.4386,300,5.8,33.3333,0.2000,
rcn4,30Jan2024,pre_storm,reefcrest,375.4292,13.9000,1.7375,1.5444,77.9738,340,6.5,50.0000,0.1846,
rcn5,30Jan2024,pre_storm,reefcrest,341.5697,14.0000,0.9333,0.9032,59.8489,200,6.1,25.0000,0.1696,
rcn6,30Jan2024,pre_storm,reefcrest,326.2140,8.2000,1.6400,2.0000,44.5826,720,6.9,20.0000,0.1667,
rcn7,30Jan2024,pre_storm,reefcrest,351.9508,12.1000,1.2100,1.0083,70.3902,840,6.7,23.0769,0.1667,
rcn8,30Jan2024,pre_storm,reefcrest,266.9868,14.2000,0.6762,0.6228,62.4338,480,6.4,18.1818,0.2154,
rcn9,30Jan2024,pre_storm,reefcrest,440.3021,12.8000,1.2800,1.1963,64.7794,360,7.2,23.0769,0.1375,
rcs1,9Feb2024,post_storm,reefcrest,300.1219,11.9000,0.9154,0.8440,57.8697,360,9.0,35.7143,0.1778,
rcs10,9Feb2024,post_storm,reefcrest,323.9179,11.0000,1.3750,1.3253,67.2130,260,9.1,21.4286,0.2000,
rcs11,9Feb2024,post_storm,reefcrest,573.7188,16.3000,0.8150,0.8956,85.4319,100,7.7,12.5000,0.1636,
rcs12,9Feb2024,post_storm,reefcrest,378.4200,13.6000,0.6476,0.6733,60.6673,240,7.2,23.0769,0.1667,
rcs13,9Feb2024,post_storm,reefcrest,419.3455,16.1000,0.6440,0.6466,57.4294,840,7.1,25.0000,0.1375,
rcs14,9Feb2024,post_storm,reefcrest,267.5077,10.4000,2.6000,1.4247,97.6403,1040,8.6,23.0769,0.2000,
rcs15,9Feb2024,post_storm,reefcrest,359.8031,7.2000,1.4400,1.8000,51.1720,400,8.3,25.0000,0.1778,
rcs16,9Feb2024,post_storm,reefcrest,274.2699,9.9000,1.6500,1.6780,56.9364,580,8.0,28.5714,0.2111,
rcs17,9Feb2024,post_storm,reefcrest,333.7626,12.0000,2.4000,2.5532,56.4726,210,7.9,27.2727,0.1800,
rcs18,10Feb2024,post_storm,reefcrest,473.0519,8.5000,2.8333,3.1481,63.8620,500,7.9,11.1111,0.1500,
rcs19,10Feb2024,post_storm,reefcrest,398.5714,7.9000,1.9750,2.2571,52.3125,720,7.4,14.2857,0.1500,
rcs2,9Feb2024,post_storm,reefcrest,257.5167,7.7000,1.9250,1.8333,54.0785,520,8.9,20.0000,0.2000,
rcs20,10Feb2024,post_storm,reefcrest,347.3417,8.4000,4.2000,3.0000,72.9418,490,7.1,25.0000,0.1500,
rcs21,10Feb2024,post_storm,reefcrest,192.6028,10.5000,1.5000,1.5441,66.5244,360,7.2,10.0000,0.3556,
rcs22,10Feb2024,post_storm,reefcrest,374.2944,7.0000,2.3333,2.5926,50.5298,400,8.1,25.0000,0.1500,
rcs23,10Feb2024,post_storm,reefcrest,378.3000,7.7000,2.5667,3.0800,52.5417,160,7.9,18.1818,0.1667,
rcs24,10Feb2024,post_storm,reefcrest,320.5744,11.5000,2.3000,2.4468,53.5715,40,7.7,10.0000,0.1778,
rcs25,10Feb2024,post_storm,reefcrest,444.1556,8.2000,1.1714,1.2615,61.8645,600,7.7,16.6667,0.1500,
rcs3,9Feb2024,post_storm,reefcrest,327.1667,12.2000,1.5250,1.6486,54.4733,1000,9.1,18.1818,0.1800,
rcs4,9Feb2024,post_storm,reefcrest,323.4095,14.9000,1.3545,1.5851,48.3644,300,8.5,25.0000,0.1750,
rcs5,9Feb2024,post_storm,reefcrest,359.1692,9.1000,1.5167,1.7843,44.0980,430,8.6,20.0000,0.1444,
rcs6,9Feb2024,post_storm,reefcrest,359.6786,16.1000,1.2385,1.2677,54.6588,220,7.6,27.2727,0.1556,
rcs7,9Feb2024,post_storm,reefcrest,527.6160,15.0000,3.0000,3.6585,72.1075,40,8.8,20.0000,0.1667,
rcs8,9Feb2024,post_storm,reefcrest,436.8750,7.9000,2.6333,2.1944,104.8500,840,9.2,16.6667,0.2000,
rcs9,9Feb2024,post_storm,reefcrest,298.7782,12.0000,1.0000,0.7547,72.5782,280,6.7,20.0000,0.1833,
rfn1,24Jan2024,pre_storm,reefflat,317.0493,7.5000,0.7500,1.0000,31.3446,600,5.3,28.5714,0.1318,
rfn10,24Jan2024,pre_storm,reefflat,287.2358,14.5000,0.3222,0.3511,48.5058,580,6.1,17.2414,0.1840,
rfn11,24Jan2024,pre_storm,reefflat,311.2256,9.5000,0.9500,0.9048,45.2474,640,5.4,27.7778,0.1385,
rfn12,24Jan2024,pre_storm,reefflat,303.5083,9.0000,1.1250,1.0345,54.0107,230,6.0,33.3333,0.1636,
rfn13,24Jan2024,pre_storm,reefflat,253.0483,10.1000,0.6733,0.7266,42.5016,190,6.0,50.0000,0.1813,
rfn14,24Jan2024,pre_storm,reefflat,400.0784,9.9000,4.9500,1.4348,182.3929,360,6.1,16.6667,0.1321,
rfn15,24Jan2024,pre_storm,reefflat,302.7200,9.1000,1.1375,1.1818,45.5263,240,6.2,22.7273,0.1563,
rfn16,24Jan2024,pre_storm,reefflat,201.5444,11.7000,0.6158,0.5467,58.0860,360,5.4,33.3333,0.2559,
rfn17,24Jan2024,pre_storm,reefflat,212.9603,7.5000,0.7500,0.8824,32.5829,280,6.7,35.7143,0.1800,
rfn18,24Jan2024,pre_storm,reefflat,274.8361,12.2000,0.9385,0.8243,68.3418,400,6.3,15.3846,0.2184,
rfn19,24Jan2024,pre_storm,reefflat,223.2687,12.3000,1.2300,1.0696,54.7008,160,7.0,28.1250,0.2130,
rfn2,24Jan2024,pre_storm,reefflat,265.6016,6.6000,0.8250,1.4043,30.4651,100,5.6,33.3333,0.1952,
rfn21,24Jan2024,pre_storm,reefflat,364.1029,10.5000,1.0500,1.1932,51.5443,160,5.6,15.3846,0.1609,
rfn22,1Feb2024,pre_storm,reefflat,204.4152,9.7000,1.3857,1.0899,48.5145,470,5.3,18.7500,0.1867,
rfn23,1Feb2024,pre_storm,reefflat,230.6955,8.5000,1.2143,1.9318,29.0017,210,5.9,36.3636,0.2000,
rfn24,1Feb2024,pre_storm,reefflat,208.6049,12.5000,3.1250,2.6042,45.0587,420,5.6,33.3333,0.1800,
rfn25,1Feb2024,pre_storm,reefflat,228.3944,9.7000,3.2333,2.5526,57.8599,850,6.4,33.3333,0.2000,
rfn26,1Feb2024,pre_storm,reefflat,186.6615,9.3000,2.3250,1.8600,46.6654,150,6.1,23.0769,0.2000,
rfn27,1Feb2024,pre_storm,reefflat,207.2640,11.0000,2.2000,1.9643,48.3616,160,5.9,23.5294,0.2083,
rfn3,24Jan2024,pre_storm,reefflat,234.9352,7.1000,7.1000,1.7750,169.1533,440,5.9,33.3333,0.1800,
rfn4,24Jan2024,pre_storm,reefflat,257.2531,7.8000,1.3000,0.6842,95.2280,320,5.5,33.3333,0.1948,
rfn5,24Jan2024,pre_storm,reefflat,304.1873,7.7000,1.5400,1.7500,42.2118,200,5.8,20.0000,0.1577,
rfn6,24Jan2024,pre_storm,reefflat,322.3706,17.1000,0.4275,0.4120,60.7173,240,6.5,20.0000,0.1815,
rfn7,24Jan2024,pre_storm,reefflat,324.8151,8.0000,0.7273,0.7207,47.3443,290,6.3,12.9032,0.1444,
rfn8,24Jan2024,pre_storm,reefflat,264.4222,5.6000,0.7000,0.8485,39.2667,640,5.5,40.0000,0.1800,
rfn9,24Jan2024,pre_storm,reefflat,273.1962,11.0000,0.8462,0.8462,50.7364,520,5.9,21.4286,0.1857,
rfs1,9Feb2024,post_storm,reefflat,435.4127,10.3000,0.9364,0.9364,68.4220,1240,7.0,20.0000,0.1571,
rfs10,9Feb2024,post_storm,reefflat,432.1778,11.5000,1.0455,0.9055,81.6495,320,6.6,7.1429,0.1636,
rfs11,9Feb2024,post_storm,reefflat,386.1797,9.9000,2.4750,2.0204,75.6912,360,6.3,25.0000,0.1600,
rfs12,9Feb2024,post_storm,reefflat,243.6320,13.2000,0.6286,0.5973,49.3065,760,7.3,30.7692,0.1923,
rfs13,9Feb2024,post_storm,reefflat,441.6205,9.4000,1.5667,1.5410,70.5541,440,6.5,25.0000,0.1571,
rfs14,9Feb2024,post_storm,reefflat,311.8850,5.6000,2.8000,2.6667,56.1393,900,7.2,20.0000,0.1714,
rfs15,9Feb2024,post_storm,reefflat,484.8094,6.6000,0.9429,2.6400,23.0862,210,7.3,12.5000,0.1333,
rfs16,9Feb2024,post_storm,reefflat,435.4725,12.2000,0.6778,0.7349,66.9337,480,7.1,6.2500,0.1667,
rfs17,9Feb2024,post_storm,reefflat,217.8391,8.7000,1.0875,0.9355,48.5373,320,8.3,6.2500,0.1917,
rfs18,10Feb2024,post_storm,reefflat,284.1566,9.8000,1.9600,1.5077,81.2688,1140,7.4,33.3333,0.2200,
rfs19,10Feb2024,post_storm,reefflat,296.2700,8.0000,2.6667,2.2222,71.1048,900,5.7,20.0000,0.2000,
rfs2,9Feb2024,post_storm,reefflat,325.5437,8.9000,0.8900,0.9674,52.8530,420,6.4,22.2222,0.1765,
rfs20,10Feb2024,post_storm,reefflat,411.8122,8.9000,1.4833,1.6792,63.6593,560,8.0,14.2857,0.1750,
rfs21,10Feb2024,post_storm,reefflat,361.6947,13.8000,1.7250,2.1563,49.9796,180,7.8,18.1818,0.1727,
rfs22,10Feb2024,post_storm,reefflat,292.0098,7.0000,3.5000,3.6842,47.1596,40,9.2,33.3333,0.1700,
rfs23,10Feb2024,post_storm,reefflat,392.0714,6.3000,3.1500,2.8636,60.3790,600,9.8,28.5714,0.1400,
rfs24,10Feb2024,post_storm,reefflat,311.2750,7.1000,1.7750,1.3396,82.4879,120,8.2,20.0000,0.2000,
rfs3,9Feb2024,post_storm,reefflat,402.6480,8.0000,2.0000,1.9512,68.7857,420,6.8,20.0000,0.1667,
rfs4,9Feb2024,post_storm,reefflat,291.7188,9.1000,1.8200,1.8200,58.3438,440,6.7,25.0000,0.2000,
rfs5,9Feb2024,post_storm,reefflat,318.3912,8.3000,0.6917,0.6587,54.3255,380,6.2,28.5714,0.1625,
rfs6,9Feb2024,post_storm,reefflat,301.0857,11.7000,1.6714,2.1273,47.3135,600,7.4,28.5714,0.2000,
rfs7,9Feb2024,post_storm,reefflat,378.3000,8.1000,4.0500,3.3750,90.7920,420,6.2,16.6667,0.2000,
rfs8,9Feb2024,post_storm,reefflat,327.0571,10.9000,0.7267,1.3457,30.9069,280,6.0,16.6667,0.1750,
rfs9,9Feb2024,post_storm,reefflat,163.2500,8.0000,1.6000,1.5094,34.6090,400,7.0,28.5714,0.2000,
rsn1,28Jan2024,pre_storm,reefslope,407.9600,16.5000,0.4024,0.4156,65.8374,640,6.0,16.6667,0.1667,
rsn10,28Jan2024,pre_storm,reefslope,269.5564,12.6000,1.2600,1.1455,53.6245,540,8.8,26.0870,0.1809,
rsn11,28Jan2024,pre_storm,reefslope,267.0752,15.0000,0.4688,0.5556,44.5791,5,8.3,27.7778,0.1978,
rsn12,28Jan2024,pre_storm,reefslope,289.4645,9.1000,1.0111,1.0833,41.2004,40,8.6,22.2222,0.1525,
rsn13,28Jan2024,pre_storm,reefslope,296.8905,11.3000,3.7667,2.0926,93.5205,80,6.7,33.3333,0.1750,
rsn14,28Jan2024,pre_storm,reefslope,249.6983,9.5000,1.1875,1.5323,34.6292,240,5.7,42.8571,0.1789,
rsn15,28Jan2024,pre_storm,reefslope,298.1778,8.9000,1.6182,1.6481,51.2324,280,6.5,22.2222,0.1750,
rsn16,28Jan2024,pre_storm,reefslope,321.9939,10.0000,1.2500,1.4493,45.7421,1800,7.5,28.5714,0.1647,
rsn17,28Jan2024,pre_storm,reefslope,243.6911,8.0000,1.6000,1.8182,39.4585,270,6.2,25.0000,0.1840,
rsn18,28Jan2024,pre_storm,reefslope,275.6000,12.8000,1.2800,1.4713,41.9601,120,7.6,37.5000,0.1750,
rsn19,28Jan2024,pre_storm,reefslope,278.6000,14.3000,1.1917,1.0752,55.1396,480,7.7,28.0000,0.1786,
rsn2,28Jan2024,pre_storm,reefslope,270.7221,18.0000,1.6364,1.0843,71.4952,5,7.1,31.8182,0.1750,
rsn20,28Jan2024,pre_storm,reefslope,288.1672,9.9000,1.6500,3.1935,22.0352,680,5.9,37.5000,0.1480,
rsn21,28Jan2024,pre_storm,reefslope,219.8922,10.0000,2.0000,1.7544,48.9417,720,7.4,40.0000,0.1952,
rsn22,28Jan2024,pre_storm,reefslope,273.3267,8.8000,4.4000,2.7500,77.1746,280,6.0,35.2941,0.1765,
rsn23,28Jan2024,pre_storm,reefslope,255.9488,9.8000,1.2250,1.9600,25.4495,320,6.1,34.7826,0.1591,
rsn24,28Jan2024,pre_storm,reefslope,257.4608,10.3000,2.0600,1.9434,46.3944,80,6.2,33.3333,0.1700,
rsn25,1Feb2024,pre_storm,reefslope,169.4250,14.0000,0.5185,0.5447,32.2535,200,6.3,20.0000,0.2000,
rsn26,1Feb2024,pre_storm,reefslope,291.6349,14.0000,1.4000,1.1570,63.5181,100,6.2,28.5714,0.1800,
rsn27,1Feb2024,pre_storm,reefslope,291.0469,17.7000,0.9316,0.9672,48.4196,900,5.6,30.4348,0.1727,
rsn28,1Feb2024,pre_storm,reefslope,375.3458,14.6000,0.7300,0.6348,64.7472,300,6.4,31.2500,0.1500,
rsn29,1Feb2024,pre_storm,reefslope,179.4812,11.5000,0.6053,0.5251,50.0857,700,6.3,38.8889,0.2421,
rsn4,28Jan2024,pre_storm,reefslope,270.7620,13.5000,0.5400,0.7068,36.0341,340,5.7,32.3529,0.1742,
rsn5,28Jan2024,pre_storm,reefslope,423.5237,14.2000,0.4897,0.5053,64.9146,280,6.3,25.0000,0.1582,
rsn6,28Jan2024,pre_storm,reefslope,329.1033,11.2000,1.1200,1.0667,55.1681,340,6.0,26.3158,0.1596,
rsn7,28Jan2024,pre_storm,reefslope,319.4623,12.9000,0.6450,0.7500,51.2011,220,7.0,23.0769,0.1864,
rsn8,28Jan2024,pre_storm,reefslope,361.8138,13.6000,0.4690,0.4928,54.2607,440,6.0,15.3846,0.1576,
rsn9,28Jan2024,pre_storm,reefslope,321.4534,11.5000,1.0455,0.8582,62.0631,160,7.1,33.3333,0.1585,
rss1,9Feb2024,post_storm,reefslope,377.6400,13.0000,1.0833,0.9701,70.2830,1240,9.1,25.0000,0.1667,
rss10,9Feb2024,post_storm,reefslope,189.2032,12.5000,2.5000,2.4038,33.4511,400,6.8,18.1818,0.1700,
rss11,9Feb2024,post_storm,reefslope,380.7746,12.8000,0.6737,1.8286,26.7818,970,6.8,20.0000,0.1909,
rss12,9Feb2024,post_storm,reefslope,346.6857,13.1000,0.8733,0.8912,67.9504,760,7.0,19.0476,0.2000,
rss13,9Feb2024,post_storm,reefslope,414.2940,11.2000,1.1200,1.0980,68.6692,210,7.0,22.2222,0.1625,
rss14,9Feb2024,post_storm,reefslope,307.8504,14.2000,0.8353,1.0758,44.3925,210,6.7,33.3333,0.1857,
rss15,9Feb2024,post_storm,reefslope,431.3000,11.0000,1.3750,1.2360,71.9732,670,6.3,20.0000,0.1500,
rss16,9Feb2024,post_storm,reefslope,329.9692,8.0000,2.0000,1.8605,57.6415,600,8.3,28.5714,0.1625,
rss17,9Feb2024,post_storm,reefslope,398.7976,14.5000,1.3182,1.2946,73.0887,100,7.7,21.4286,0.1800,
rss18,10Feb2024,post_storm,reefslope,384.7916,13.5000,1.1250,0.9574,78.0952,120,7.1,30.0000,0.1727,
rss19,10Feb2024,post_storm,reefslope,515.4656,8.0000,2.0000,2.6667,51.5466,80,8.3,25.0000,0.1333,
rss2,9Feb2024,post_storm,reefslope,346.7443,9.4000,1.0444,1.2877,46.8747,280,7.4,21.4286,0.1667,
rss20,10Feb2024,post_storm,reefslope,349.3000,8.5000,2.8333,2.7419,67.6769,120,8.5,25.0000,0.1875,
rss21,10Feb2024,post_storm,reefslope,248.7050,12.7000,1.8143,1.6076,62.3736,160,7.6,27.7778,0.2222,
rss22,10Feb2024,post_storm,reefslope,315.6931,9.7000,2.4250,2.4872,74.7516,280,7.5,16.6667,0.2429,
rss23,10Feb2024,post_storm,reefslope,398.2232,7.5000,2.5000,2.6786,59.4680,160,7.3,7.1429,0.1600,
rss24,10Feb2024,post_storm,reefslope,416.9714,8.5000,4.2500,3.2692,75.8888,230,7.1,20.0000,0.1400,
rss3,9Feb2024,post_storm,reefslope,441.4391,16.7000,0.7261,0.6448,92.3183,320,7.7,15.3846,0.1857,
rss4,9Feb2024,post_storm,reefslope,605.8118,10.2000,1.4571,1.7895,49.3304,5,6.9,17.6471,0.1000,
rss5,9Feb2024,post_storm,reefslope,368.8757,14.1000,0.7050,0.6812,62.0403,1090,6.3,30.7692,0.1625,
rss6,9Feb2024,post_storm,reefslope,316.9000,13.0000,1.6250,1.5116,68.1335,1000,7.3,25.0000,0.2000,
rss7,9Feb2024,post_storm,reefslope,408.5238,11.2000,1.4000,1.1546,89.1603,660,6.6,14.2857,0.1800,
rss8,9Feb2024,post_storm,reefslope,418.8750,10.0000,1.0000,1.1364,62.6637,400,6.8,25.0000,0.1700,
rss9,9Feb2024,post_storm,reefslope,381.2475,11.2000,1.2444,2.0364,38.8308,320,7.5,25.0000,0.1667,
sfn1,26Jan2024,pre_storm,sandflat,347.4513,10.2000,1.0200,0.7907,68.4293,600,6.4,20.0000,0.1527,
sfn10,26Jan2024,pre_storm,sandflat,290.6612,13.2000,1.3200,1.3469,56.0898,200,6.1,22.2222,0.1969,
sfn11,26Jan2024,pre_storm,sandflat,274.1603,13.9000,1.3900,1.0451,70.8026,900,6.4,33.3333,0.1942,
sfn12,26Jan2024,pre_storm,sandflat,261.4039,8.3000,0.8300,1.2769,32.3147,200,6.3,28.5714,0.1902,
sfn13,26Jan2024,pre_storm,sandflat,295.7962,14.0000,1.4000,1.3592,55.0609,210,5.9,21.4286,0.1807,
sfn14,26Jan2024,pre_storm,sandflat,268.2666,8.6000,0.3440,1.7551,9.3227,580,5.4,16.6667,0.1773,
sfn15,26Jan2024,pre_storm,sandflat,258.9648,9.2000,1.8400,1.4154,61.6694,810,6.5,40.0000,0.1832,
sfn16,26Jan2024,pre_storm,sandflat,178.6172,14.0000,1.4000,1.7949,32.8681,1000,6.2,14.2857,0.2359,
sfn17,26Jan2024,pre_storm,sandflat,240.7857,10.0000,1.2500,1.3158,45.7493,500,6.5,28.5714,0.2000,
sfn18,26Jan2024,pre_storm,sandflat,514.1224,11.0000,0.5500,0.4933,100.3181,710,5.6,23.0769,0.1750,
sfn19,26Jan2024,pre_storm,sandflat,239.2610,11.2000,1.1200,1.4000,34.8829,200,7.2,36.3636,0.1822,
sfn2,26Jan2024,pre_storm,sandflat,278.8356,11.1000,1.1100,1.0673,52.5642,800,5.5,25.0000,0.1813,
sfn20,26Jan2024,pre_storm,sandflat,222.8614,9.7000,1.3857,1.3288,46.6157,600,6.2,18.1818,0.2006,
sfn21,26Jan2024,pre_storm,sandflat,179.8653,8.2000,0.5467,1.4909,12.9739,580,5.5,16.6667,0.1967,
sfn22,26Jan2024,pre_storm,sandflat,440.4161,8.7000,1.2429,2.4857,43.6056,400,7.5,22.2222,0.1980,
sfn23,26Jan2024,pre_storm,sandflat,319.2468,8.8000,2.2000,1.4667,92.0100,600,6.1,12.5000,0.1921,
sfn24,26Jan2024,pre_storm,sandflat,331.1527,8.5000,1.2143,1.1184,61.8559,820,6.4,25.0000,0.1720,
sfn25,26Jan2024,pre_storm,sandflat,328.5638,8.8000,1.1000,1.0233,58.7073,400,6.7,28.5714,0.1662,
sfn26,1Feb2024,pre_storm,sandflat,289.9588,9.5000,0.9500,0.9596,54.2223,200,5.3,40.0000,0.1889,
sfn27,1Feb2024,pre_storm,sandflat,256.8100,9.0000,2.2500,2.3684,48.7939,600,5.6,40.0000,0.2000,
sfn28,1Feb2024,pre_storm,sandflat,206.2420,7.5000,1.2500,1.1905,48.7247,250,5.5,22.2222,0.2250,
sfn29,1Feb2024,pre_storm,sandflat,214.9895,10.9000,1.8167,1.5797,46.9752,600,5.9,26.6667,0.1900,
sfn3,26Jan2024,pre_storm,sandflat,279.7451,9.5000,0.6333,0.6738,46.8149,600,5.8,20.6897,0.1780,
sfn30,1Feb2024,pre_storm,sandflat,355.9114,9.0000,4.5000,3.2143,83.0460,250,6.3,28.5714,0.1667,
sfn4,26Jan2024,pre_storm,sandflat,279.1164,13.8000,1.3800,1.3019,56.1005,580,5.6,37.5000,0.1896,
sfn5,26Jan2024,pre_storm,sandflat,310.2610,10.2000,1.0200,1.0099,57.7249,400,5.8,11.1111,0.1842,
sfn6,26Jan2024,pre_storm,sandflat,230.5248,10.4000,0.5200,1.0505,19.3406,400,6.7,20.0000,0.1695,
sfn7,26Jan2024,pre_storm,sandflat,265.8596,12.5000,1.2500,1.3298,48.8950,510,6.4,10.0000,0.1957,
sfn8,26Jan2024,pre_storm,sandflat,256.1273,10.0000,0.5000,0.9524,26.2868,800,6.7,12.5000,0.1955,
sfn9,26Jan2024,pre_storm,sandflat,299.8786,10.2000,1.1333,1.0515,54.7619,380,5.8,20.0000,0.1694,
sfs1,9Feb2024,post_storm,sandflat,329.8508,7.5000,1.2500,1.5000,51.0483,560,7.2,20.0000,0.1857,
sfs10,9Feb2024,post_storm,sandflat,356.8163,8.8000,1.4667,1.4915,62.3768,480,8.0,20.0000,0.1778,
sfs11,9Feb2024,post_storm,sandflat,411.5455,7.1000,1.7750,1.8205,73.5638,600,7.5,6.2500,0.1833,
sfs12,9Feb2024,post_storm,sandflat,164.2088,12.5000,1.2500,1.3021,34.1554,150,8.0,14.2857,0.2167,
sfs13,9Feb2024,post_storm,sandflat,381.5944,9.9000,0.9900,1.0761,57.4473,380,7.3,18.1818,0.1636,
sfs14,9Feb2024,post_storm,sandflat,456.7410,9.2000,1.5333,1.5333,50.7490,1240,7.5,30.0000,0.1111,
sfs15,9Feb2024,post_storm,sandflat,337.3633,7.0000,1.7500,1.4583,70.8463,440,8.8,14.2857,0.1750,
sfs16,9Feb2024,post_storm,sandflat,377.8750,14.0000,2.0000,1.9718,76.6546,45,6.7,6.2500,0.2000,
sfs17,9Feb2024,post_storm,sandflat,401.0263,11.9000,1.3222,1.4691,68.5755,860,7.1,6.2500,0.1900,
sfs18,10Feb2024,post_storm,sandflat,388.7930,8.5000,1.2143,1.1039,76.0306,800,7.3,25.0000,0.1778,
sfs19,10Feb2024,post_storm,sandflat,588.8875,8.3000,2.0750,1.8043,108.3553,340,8.7,20.0000,0.1600,
sfs2,9Feb2024,post_storm,sandflat,161.5090,9.5000,1.5833,1.8627,29.9526,340,6.9,16.6667,0.2182,
sfs20,10Feb2024,post_storm,sandflat,383.6583,9.0000,1.5000,1.5517,63.5777,440,7.8,16.6667,0.1714,
sfs21,10Feb2024,post_storm,sandflat,420.7575,10.5000,1.3125,1.3125,70.1263,800,8.6,12.5000,0.1667,
sfs22,10Feb2024,post_storm,sandflat,334.4286,12.0000,0.8000,0.7143,71.5069,820,8.3,27.2727,0.1909,
sfs23,10Feb2024,post_storm,sandflat,433.0667,9.9000,2.4750,3.1935,50.3440,40,8.6,16.6667,0.1500,
sfs24,10Feb2024,post_storm,sandflat,493.0500,10.8000,0.8308,0.8710,58.7867,640,7.8,25.0000,0.1250,
sfs25,10Feb2024,post_storm,sandflat,347.7979,9.8000,1.9600,1.5556,75.1244,1500,7.2,12.5000,0.1714,
sfs3,9Feb2024,post_storm,sandflat,219.3342,10.2000,1.2750,1.4167,34.0965,230,6.7,14.2857,0.1727,
sfs4,9Feb2024,post_storm,sandflat,252.2942,12.9000,1.2900,1.2772,45.3008,1240,7.0,30.7692,0.1778,
sfs5,9Feb2024,post_storm,sandflat,446.3565,11.5000,0.9583,0.9274,75.7743,1280,8.2,14.2857,0.1643,
sfs6,9Feb2024,post_storm,sandflat,430.4646,13.1000,0.5955,0.5696,70.7192,1040,7.1,11.1111,0.1571,
sfs7,9Feb2024,post_storm,sandflat,600.0938,11.1000,0.6529,0.8473,73.9880,480,6.8,12.5000,0.1600,
sfs9,9Feb2024,post_storm,sandflat,432.1615,8.4000,2.1000,2.0000,65.5445,640,7.5,33.3333,0.1444,